timestamp,branch_id,revenue,service_time,rating
2024-10-29 22:00:00,Branch2,499.85,11.94,4.27
2024-02-05 20:00:00,Branch1,224.94,19.17,3.2
2024-08-12 14:00:00,Branch3,224.15,9.8,3.57
2025-07-13 02:00:00,Branch5,276.61,18.46,3.28
2024-08-04 07:00:00,Branch3,135.64,19.61,3.27
2025-05-13 12:00:00,Branch5,444.34,8.63,3.15
2025-04-15 04:00:00,Branch4,307.52,12.71,3.64
2024-08-26 22:00:00,Branch3,136.45,13.02,3.85
2024-09-18 01:00:00,Branch3,407.05,17.99,3.93
2024-01-20 10:00:00,Branch3,65.45,9.56,3.88
2025-07-17 14:00:00,Branch4,492.15,16.97,4.05
2024-07-03 10:00:00,Branch1,439.32,19.57,4.72
2024-08-20 10:00:00,Branch5,310.84,17.61,4.26
2025-08-23 23:00:00,Branch3,100.08,18.64,3.03
2025-04-29 20:00:00,Branch4,146.87,15.63,3.35
2025-04-18 11:00:00,Branch1,175.75,18.56,3.7
2025-04-07 23:00:00,Branch5,158.46,7.47,4.9
2024-12-12 18:00:00,Branch4,273.88,15.69,3.16
2024-03-11 05:00:00,Branch5,475.05,15.98,4.42
2024-02-02 01:00:00,Branch3,249.88,11.59,3.07
2025-03-16 23:00:00,Branch1,347.7,6.2,3.73
2025-07-29 03:00:00,Branch4,359.86,14.34,4.54
2024-10-16 13:00:00,Branch1,442.21,5.78,3.69
2024-04-11 09:00:00,Branch3,65.22,10.74,3.86
2024-08-09 07:00:00,Branch1,231.95,10.91,4.81
2024-07-29 11:00:00,Branch1,403.13,19.98,3.13
2024-09-24 12:00:00,Branch2,416.69,9.5,4.06
2024-02-19 08:00:00,Branch1,467.3,17.31,3.73
2024-07-08 19:00:00,Branch5,366.26,5.8,4.93
2024-05-21 01:00:00,Branch4,160.32,12.95,4.59
2025-05-27 21:00:00,Branch2,277.55,13.05,3.24
2024-09-23 12:00:00,Branch4,64.56,14.43,4.85
2025-06-27 03:00:00,Branch4,341.12,17.15,3.42
2025-04-07 08:00:00,Branch3,299.43,16.43,3.17
2024-12-27 02:00:00,Branch3,350.08,16.42,4.08
2025-01-21 10:00:00,Branch2,468.56,11.48,4.47
2024-04-16 14:00:00,Branch3,359.27,15.91,4.43
2024-11-23 01:00:00,Branch3,194.2,12.37,4.07
2024-03-26 07:00:00,Branch3,139.43,6.0,3.99
2024-04-24 11:00:00,Branch4,434.59,18.35,4.94
2025-01-16 23:00:00,Branch2,137.45,18.35,4.64
2025-02-20 14:00:00,Branch4,122.72,9.84,4.4
2024-01-08 21:00:00,Branch5,142.98,18.71,3.39
2024-04-23 22:00:00,Branch4,278.98,16.37,4.64
2024-05-05 05:00:00,Branch5,105.88,11.01,4.5
2024-07-13 02:00:00,Branch1,472.15,9.97,4.98
2024-03-20 03:00:00,Branch1,484.81,19.63,3.27
2024-11-18 06:00:00,Branch5,488.21,15.69,4.43
2024-02-22 19:00:00,Branch5,67.61,10.68,4.96
2024-03-04 16:00:00,Branch4,475.79,14.63,3.93
2025-04-19 18:00:00,Branch5,498.84,13.57,4.47
2024-05-28 04:00:00,Branch2,474.09,12.87,4.95
2024-06-11 02:00:00,Branch1,351.92,14.67,4.09
2025-01-03 06:00:00,Branch1,365.55,13.06,4.4
2025-08-21 04:00:00,Branch5,105.01,14.82,3.04
2025-04-06 16:00:00,Branch3,443.43,18.61,4.04
2025-08-27 06:00:00,Branch3,76.84,19.9,3.51
2024-08-12 17:00:00,Branch5,192.98,15.64,3.26
2025-03-18 19:00:00,Branch2,496.02,18.92,4.42
2025-01-01 08:00:00,Branch3,240.05,17.88,3.08
2025-03-15 19:00:00,Branch5,109.02,9.43,4.81
2025-03-03 05:00:00,Branch2,486.18,18.99,4.04
2024-12-17 09:00:00,Branch2,492.86,6.06,4.3
2025-03-02 09:00:00,Branch4,134.17,9.95,3.51
2025-04-04 00:00:00,Branch2,439.16,14.6,3.36
